"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"III","N. oculata","NIII1",17,0,"1"
"III","N. oculata","NIII1",18,1,"1"
"III","N. oculata","NIII1",19,3,"1"
"III","N. oculata","NIII1",20,2,"1"
"III","N. oculata","NIII1",21,1,"1"
"III","N. oculata","NIII1",22,7,"1"
"III","N. oculata","NIII1",23,1,"1"
"III","N. oculata","NIII1",24,2,"1"
"III","N. oculata","NIII1",25,8,"1"
"III","N. oculata","NIII1",26,0,"1"
"III","N. oculata","NIII1",27,0,"1"
"III","N. oculata","NIII1",28,1,"1"
"III","N. oculata","NIII1",29,0,"1"
"III","N. oculata","NIII1",30,5,"1"
"III","N. oculata","NIII1",31,0,"1"
"III","N. oculata","NIII1",32,2,"1"
"III","N. oculata","NIII1",33,0,"1"
"III","N. oculata","NIII1",34,0,"1"
"III","N. oculata","NIII1",35,4,"1"
"III","N. oculata","NIII1",36,0,"1"
"III","N. oculata","NIII1",37,1,"1"
"III","N. oculata","NIII1",38,0,"1"
"III","N. oculata","NIII1",39,0,"1"
"III","N. oculata","NIII1",40,2,"1"
"III","N. oculata","NIII1",41,0,"1"
"III","N. oculata","NIII1",42,0,"1"
"III","N. oculata","NIII1",43,2,"1"
"III","N. oculata","NIII1",44,0,"1"
"III","N. oculata","NIII1",45,5,"1"
"III","N. oculata","NIII1",46,0,"1"
"III","N. oculata","NIII1",47,0,"1"
"III","N. oculata","NIII1",48,1,"1"
"III","N. oculata","NIII1",49,0,"1"
"III","N. oculata","NIII1",50,0,"1"
"IV","N. oculata","NIV1",1,0,"1"
"IV","N. oculata","NIV1",2,1,"1"
"IV","N. oculata","NIV1",3,1,"1"
"IV","N. oculata","NIV1",4,0,"1"
"IV","N. oculata","NIV1",5,4,"1"
"IV","N. oculata","NIV1",6,0,"1"
"IV","N. oculata","NIV1",7,0,"1"
"IV","N. oculata","NIV1",8,0,"1"
"IV","N. oculata","NIV1",9,0,"1"
"IV","N. oculata","NIV1",10,0,"1"
"IV","N. oculata","NIV1",11,2,"1"
"IV","N. oculata","NIV1",12,0,"1"
"IV","N. oculata","NIV1",13,1,"1"
"IV","N. oculata","NIV1",14,0,"1"
"IV","N. oculata","NIV1",15,0,"1"
"IV","N. oculata","NIV1",16,3,"1"
"IV","N. oculata","NIV1",17,0,"1"
"IV","N. oculata","NIV1",18,0,"1"
"IV","N. oculata","NIV1",19,2,"1"
"IV","N. oculata","NIV1",20,0,"1"
"IV","N. oculata","NIV1",21,4,"1"
"IV","N. oculata","NIV1",22,0,"1"
"IV","N. oculata","NIV1",23,0,"1"
"IV","N. oculata","NIV1",24,1,"1"
"IV","N. oculata","NIV1",25,0,"1"
"IV","N. oculata","NIV1",26,0,"1"
"IV","N. oculata","NIV1",27,2,"1"
"IV","N. oculata","NIV1",28,1,"1"
"IV","N. oculata","NIV1",29,0,"1"
